Co-ordinate,US.CA,US.NM,US.AZ,US.TX,US.MT,US.ND,US.NE,US.NY
Location,Califonia,New Mexico,Arizona,Texas,Montana,North darkota,Nebraska,New York
1/1/2024 0:00,0,0,0,0,0,0,0,0
1/1/2024 1:00,0,0,0,0,0,0,0,0
1/1/2024 2:00,0,0,0,0,0,0,0,0
1/1/2024 3:00,0,0,0,0,0,0,0,0
1/1/2024 4:00,0,0,0,0,0,0,0,0
1/1/2024 5:00,0,0,0,0,0,0,0,0
1/1/2024 6:00,0,0,0,0,0,0,0,0
1/1/2024 7:00,0,0,0,0,0,0,0,0
1/1/2024 8:00,0,0,0,0,0,0,0,0
1/1/2024 9:00,0,0,0,0,0,0,0,0
1/1/2024 10:00,0,0,0,0,0,0,0,0
1/1/2024 11:00,0,0,0,0,0,0,0,0
1/1/2024 12:00,0,0,0,0,0,0,0,0
1/1/2024 13:00,0,0,0,0.004,0,0,0,0.162
1/1/2024 14:00,0,0.062,0,0.205,0,0,0.047,0.386
1/1/2024 15:00,0.061,0.311,0.048,0.423,0.116,0.137,0.248,0.542
1/1/2024 16:00,0.249,0.492,0.116,0.555,0.368,0.457,0.636,0.603
1/1/2024 17:00,0.472,0.638,0.171,0.661,0.57,0.572,0.739,0.589
1/1/2024 18:00,0.621,0.653,0.193,0.704,0.613,0.627,0.746,0.547
1/1/2024 19:00,0.673,0.575,0.196,0.718,0.625,0.59,0.71,0.345
1/1/2024 20:00,0.668,0.47,0.175,0.638,0.574,0.489,0.607,0.133
1/1/2024 21:00,0.598,0.322,0.135,0.405,0.48,0.308,0.431,0
1/1/2024 22:00,0.473,0.127,0.084,0.191,0.276,0.073,0.156,0
1/1/2024 23:00,0.275,0.015,0.025,0.002,0.023,0,0,0
1/2/2024 0:00,0.053,0,0,0,0,0,0,0
1/2/2024 1:00,0,0,0,0,0,0,0,0
1/2/2024 2:00,0,0,0,0,0,0,0,0
1/2/2024 3:00,0,0,0,0,0,0,0,0
1/2/2024 4:00,0,0,0,0,0,0,0,0
1/2/2024 5:00,0,0,0,0,0,0,0,0
1/2/2024 6:00,0,0,0,0,0,0,0,0
1/2/2024 7:00,0,0,0,0,0,0,0,0
1/2/2024 8:00,0,0,0,0,0,0,0,0
1/2/2024 9:00,0,0,0,0,0,0,0,0
1/2/2024 10:00,0,0,0,0,0,0,0,0
1/2/2024 11:00,0,0,0,0,0,0,0,0
1/2/2024 12:00,0,0,0,0,0,0,0,0.004
1/2/2024 13:00,0,0,0,0,0,0,0,0.245
1/2/2024 14:00,0,0.012,0.011,0.04,0,0,0.125,0.539
1/2/2024 15:00,0.025,0.272,0.287,0.13,0.062,0.104,0.346,0.676
1/2/2024 16:00,0.19,0.596,0.516,0.269,0.355,0.41,0.585,0.737
