Co-ordinate,US.CA,US.NM,US.AZ,US.TX,US.MT,US.ND,US.NE,US.NY
Location,Califonia,New Mexico,Arizona,Texas,Montana,North darkota,Nebraska,New York
1/1/2024 0:00,0.000023,0.049856,0.000622,0.216291,0.370964,0.226051,0.170353,0.013289
1/1/2024 1:00,0.000101,0.02767,0.000006,0.201653,0.407813,0.424677,0.110392,0.002267
1/1/2024 2:00,0.000938,0.008586,0.005772,0.148843,0.4319,0.5805,0.053289,0.000414
1/1/2024 3:00,0.004405,0.00429,0.042562,0.092217,0.441881,0.649347,0.031536,0.000192
1/1/2024 4:00,0.007113,0.003121,0.076438,0.059539,0.429951,0.663338,0.032751,0.001823
1/1/2024 5:00,0.009024,0.002278,0.08803,0.033406,0.416966,0.663428,0.035872,0.004741
1/1/2024 6:00,0.010815,0.003524,0.097895,0.168442,0.412401,0.671701,0.045036,0.002692
1/1/2024 7:00,0.011051,0.012183,0.09502,0.529747,0.406915,0.684951,0.056894,0.001286
1/1/2024 8:00,0.011997,0.048942,0.11138,0.65723,0.416483,0.698701,0.067015,0.001501
1/1/2024 9:00,0.01206,0.074144,0.160568,0.637983,0.49109,0.707171,0.079821,0.00603
1/1/2024 10:00,0.013664,0.070732,0.230732,0.625485,0.615268,0.722666,0.08843,0.022227
1/1/2024 11:00,0.027515,0.062337,0.285328,0.623381,0.720021,0.733784,0.083789,0.042198
1/1/2024 12:00,0.035953,0.047555,0.34805,0.624839,0.741095,0.729648,0.085181,0.05466
1/1/2024 13:00,0.022547,0.034157,0.431057,0.606597,0.729263,0.719454,0.103985,0.041132
1/1/2024 14:00,0.008238,0.020449,0.466288,0.732235,0.731091,0.712131,0.12075,0.058834
1/1/2024 15:00,0.006124,0.01162,0.4073,0.701799,0.671726,0.743889,0.13086,0.087691
1/1/2024 16:00,0.001395,0.004846,0.211959,0.580362,0.588214,0.64346,0.161244,0.116979
1/1/2024 17:00,0.000297,0.041637,0.079465,0.469442,0.547033,0.663601,0.216409,0.145575
1/1/2024 18:00,0.000406,0.076402,0.057886,0.376263,0.490189,0.649513,0.302479,0.16276
1/1/2024 19:00,0.004874,0.091573,0.04201,0.329503,0.393821,0.651985,0.377254,0.162227
1/1/2024 20:00,0.02283,0.082034,0.022392,0.304951,0.302469,0.582991,0.436569,0.152781
1/1/2024 21:00,0.042098,0.076968,0.004348,0.29381,0.192272,0.55644,0.40772,0.152875
1/1/2024 22:00,0.045063,0.061119,0.000539,0.277169,0.120458,0.778047,0.449157,0.15223
1/1/2024 23:00,0.041528,0.042672,0.000142,0.337979,0.156931,0.893594,0.612772,0.162881
1/2/2024 0:00,0.052824,0.026212,0.001612,0.451623,0.255198,0.917911,0.661023,0.184843
1/2/2024 1:00,0.045122,0.014931,0.016954,0.466298,0.320053,0.919457,0.612069,0.188454
1/2/2024 2:00,0.024495,0.010455,0.038098,0.447011,0.332176,0.866512,0.549727,0.187163
1/2/2024 3:00,0.009221,0.004948,0.046615,0.42943,0.371067,0.845632,0.491106,0.187
1/2/2024 4:00,0.000754,0.000935,0.03858,0.382489,0.412718,0.828802,0.442221,0.192309
1/2/2024 5:00,0.000015,0.000027,0.023122,0.336747,0.441496,0.798503,0.412895,0.200061
1/2/2024 6:00,0.000613,0,0.019636,0.317434,0.470164,0.737916,0.397792,0.205008
1/2/2024 7:00,0.001245,0.000002,0.019035,0.30497,0.500848,0.701197,0.366898,0.210075
1/2/2024 8:00,0.000911,0.000171,0.026534,0.26498,0.527111,0.60122,0.328591,0.193555
1/2/2024 9:00,0.00066,0.004363,0.036377,0.226021,0.549727,0.517265,0.337388,0.205853
1/2/2024 10:00,0.000826,0.029891,0.050875,0.21963,0.571472,0.475945,0.390954,0.250989
1/2/2024 11:00,0.001667,0.023066,0.05991,0.191168,0.592254,0.395328,0.469995,0.2761
1/2/2024 12:00,0.001838,0.004146,0.071008,0.126016,0.601227,0.334179,0.561122,0.273752
1/2/2024 13:00,0.003088,0.001094,0.06792,0.071275,0.595814,0.309499,0.62345,0.284662
1/2/2024 14:00,0.01084,0.003519,0.05864,0.040982,0.590026,0.311214,0.590049,0.278
1/2/2024 15:00,0.021668,0.009191,0.040629,0.050977,0.545432,0.335987,0.394042,0.201633
1/2/2024 16:00,0.015222,0.019659,0.00507,0.089492,0.38091,0.331561,0.352406,0.154574
1/2/2024 17:00,0.007401,0.029945,0.000011,0.16161,0.252166,0.373569,0.331594,0.140864
1/2/2024 18:00,0.005083,0.02656,0,0.265502,0.336652,0.427986,0.26926,0.144836
1/2/2024 19:00,0.001941,0.02545,0.002447,0.432841,0.331606,0.466784,0.219274,0.151019
1/2/2024 20:00,0.001237,0.027162,0.036099,0.491892,0.303162,0.466299,0.19173,0.123107
1/2/2024 21:00,0.001095,0.02659,0.069328,0.050759,0.214168,0.357642,0.176267,0.162257
1/2/2024 22:00,0.000837,0.028394,0.084971,0.076439,0.134138,0.346524,0.21233,0.203728
1/2/2024 23:00,0.00266,0.036744,0.104136,0.368551,0.131227,0.45954,0.234185,0.220095
1/3/2024 0:00,0.025176,0.049246,0.107787,0.506182,0.147536,0.493847,0.191415,0.248709
